number,hotel,phone,address
1,小烏來山莊,03-3822877,桃園市復興區義盛村1鄰下宇內3-2號
2,石門山育樂中心,03-4711225,桃園市龍潭區三林村清水坑22之2號
3,渴望會館,03-4072999,桃園市龍潭區渴望路428號
4,168Motel-綠的館,03-3012626,桃園市寶慶路18號
5,168 MOTEL-平鎮館,03-4397700,桃園市平鎮區上海路122號
6,168 MOTEL-桃園館,03-3178800,桃園市天祥七街25號
7,168Motel-中壢館,03-4945533,桃園市中壢區正光街191號
8,百老匯旅館(中壢館),03-4226322,桃園市中壢區元化路二段122號
9,翰品酒店 桃園,03-3370888,桃園市桃園區民生路107號
10,麗星花園汽車旅館,03-3317317,桃園市民光東路165號
11,麗景花園汽車旅館,(03)4754653,桃園市楊梅區中山北路一段494巷100號
12,怡和飯店,03-3555-999,桃園市民富九街96號
13,中悅國際大飯店,03-347-8888,桃園市育樂街20號
14,人客旅館,03-3800666,桃園市大溪區埔頂路一段50號
15,桂林商務旅館,03-3116799,桃園市蘆竹區(南崁)桃園街106號
16,福容大飯店(林口店),03-3279388,桃園市龜山區文二一街68號
17,東森山莊渡假村,0800-889168,桃園市楊梅區東森路3號
18,住都大飯店,03-376-6177,桃園市桃鶯路398號
19,中華電信中壢會館,03-4245770,桃園市楊梅區電研路99號
20,晶悅國際飯店(原桃園大飯店),03-3254021,桃園市桃園區大興路269號
21,福容大飯店(中壢店),03-4266363,桃園市桃園區中壢區中正路89號
22,水漾時尚旅館,03-3528698,桃園市蘆竹區(南崁)洛陽街68號
23,東楓時尚旅館,03-3528698#361,桃園市龜山區文化二路52巷66號
24,歐悅國際精品旅館(桃園館),03-3017511,桃園市大興西路2段191號
25,桃園智選假日飯店,03-2700088,桃園市春日路1039號
26,翁林國際開發股份有限公司(富立登國際大飯店),03-2121212,桃園市蘆竹區長榮路55號
27,華夏大飯店,03-3275888,桃園市龜山區文化二路28號
28,歐遊國際(股)公司-中壢分公司,03-4920099,桃園市桃園區平鎮區環南路二段139號
29,福容大飯店(桃園店),03-3267688,桃園市桃園區大興西路1段200號
30,幸運草時尚旅店,03-4255858,桃園市中壢區中美路二段120號
31,沐楓商旅,03-4275999,桃園市中壢區博愛三路38號
32,歐帝花園商務旅館,03-3337700,桃園市桃園區中正路48巷7號
33,原鶴旅館,03-3558833,桃園市雙峰路122號
34,奇美國際商務旅館,03-4598888,桃園市中壢區東興里新興路194巷18號1至7樓
35,中壢大飯店,03-4225876,桃園市中壢區延平路645號4-11樓
36,龍觀旅館,03-4822359,桃園市楊梅區永美路221號
37,京典商務旅館,03-3381501,桃園市桃園區中正路60號9樓
38,育松園商旅,03-2806096,桃園市中壢區中央西路一段1號5樓
39,桃禧航空城酒店,03-3851188,桃園市大園區大觀路777號
40,銀河渡假飯店,03-4598881,桃園市中壢區新興路194巷5號
41,七星花園國際汽車旅館,03-4636666,桃園市中壢區中華路二段152號
42,A22城市商旅,03-4227111,桃園市中壢區永嘉街98號
43,風信子商務旅館,03-4616655,桃園市中壢區中山東路一段155號
44,溫情商旅,03-3359961,桃園市桃園區武陵里中正路56-6號7樓
45,曖時租旅館,03-3373131,桃園市桃園區武陵里中正路56號8樓
46,IDO頂級會館,03-3151666,桃園市經國路299號
47,伯爵雙星商務旅店,03-4595959,桃園市中壢區中北路二段437巷
48,蓮園商務旅館,03-4258163,桃園縣中壢市中美路二段 153 號 6 樓
49,上海商務旅館,03-4251522,桃園縣中壢市中美路2段153號A座4樓
50,谷點咖啡民宿,03-3912415,桃園市復興區華陵里巴崚8鄰30號
51,福容大飯店(桃園機場捷運A8),03-328-7678,桃園市龜山區復興一路2號3~9樓
52,奧爾斯旅店,979133728,桃園市桃園區成功路1段30號8樓
53,享樂文旅飯店股份有限公司桃園分公司,03-3375988,桃園市桃園區復興路95號
54,輕旅棧民宿,955436158,桃園市大溪區康莊路三段705巷61號
55,雲端商務旅館,03-4520001,桃園市中壢區環北路191號
56,合家歡休閒股份有限公司中壢分公司(中壢米堤大飯店),03-4270258,桃園市中壢區中央西路一段120號23樓
57,伊加伊汽車旅館有限公司,03-3715998,桃園市龍潭區永和路85號
58,桃花園飯店,03-2868-333,桃園市桃園區復興路151號
